title,year,authors,citations,abstract
Monitoring youth-appealing advertising on social media for the e-cigarette brand Lost Mary,2024,"M. Jeong, O. Ganz, E. Talbot",5,Lost Mary is a popular e-cigarette brand among youth in the United States. This study aimed to analyze Lost Mary’s branded social media activity and assess whether marketing efforts may have contribut
Shaping the Future: Social Media's Role in Youth Political Information and Engagement - A Review of Literature,2024,"N. Abdullah, Tuan Sharifah Ainur Hidayah Binti Tuan Zaki, Muhamad Fazil Ahmad",3,"This literature review explores how social media influences the youth’s political information and participation by looking at recent studies on the effects of social media platforms like Twitter, Inst"
Towards Automated Detection of Risky Images Shared by Youth on Social Media,2023,"Jinkyung Park, Joshua Gracie, Ashwaq Alsoubai",24,"With the growing ubiquity of the Internet and access to media-based social media platforms, the risks associated with media content sharing on social media and the need for safety measures against suc"
Impact Of Social Media on Youth,2024,Ms. Anuradha Hait,0,": Social media has profoundly impacted the lives of young people, shaping their social interactions, self-identity, and overall mental health. This paper investigates the influence of social media on "
"Smartphones, social media use and youth mental health",2020,"Elia Abi-Jaoude, Karline Treurnicht Naylor, Antonio Pignatiello",482,"KEY POINTS
In the last decade, increasing mental distress and treatment for mental health conditions among youth in North America has paralleled a steep rise in the use of smartphones and social media"
Social media and E-cigarette use among US youth: Longitudinal evidence on the role of online advertisement exposure and risk perception.,2021,"Xia Zheng, Wenbo Li, Su-Wei Wong",66,"OBJECTIVES
Previous studies revealed a link between social media use and e-cigarette use among U.S. youth, but less is known about the mechanisms through which they interconnect. This study examined h"
Social Media Platforms and Political Participation: A Study of Jordanian Youth Engagement,2023,"Abdelsalam M. Alodat, L. Al-Qora'n, Muwafaq M. Abu hamoud",70,"The wide adoption of social media platforms has altered how people communicate, obtain information, and participate in society. Regarding political participation, social media has emerged as a novel v"
"ALGORITHMS, ADDICTION, AND ADOLESCENT MENTAL HEALTH: An Interdisciplinary Study to Inform State-level Policy Action to Protect Youth from the Dangers of Social Media",2023,"Nancy A. Costello, Rebecca Sutton, Madeline Jones",36,"Abstract A recent Wall Street Journal investigation revealed that TikTok floods child and adolescent users with videos of rapid weight loss methods, including tips on how to consume less than 300 calo"
Youth’s exposure to and engagement with e-cigarette marketing on social media: a UK focus group study,2023,"Marissa J. Smith, S. Hilton",34,"Objective Electronic-cigarettes (e-cigarette) are promoted creatively through social media and considering the potential influence of social media marketing on young people, we explored young people’s"
“School Strike 4 Climate”: Social Media and the International Youth Protest on Climate Change,2020,"Shelley Boulianne, Mireille Lalancette, David Ilkiw",214,"Beginning in 2018, youth across the globe participated in protest activities aimed at encouraging government action on climate change. This activism was initiated and led by Swedish teenager, Greta Th"
Social Media and Social Relationship among Youth: A Changing Pattern and Impacts in Bangladesh,2022,"M. Hasibuzzaman, Aurthy Noboneeta, M.Shajitha Begum",6,"Social media is a platform for people to share their varied points of view on life, as well as their experiences, facts, videos, and other information. Digitalization brings the world into more connec"
Associations between youth’s daily social media use and well-being are mediated by upward comparisons,2023,"Andrea Irmer, F. Schmiedek",33,Studies examining the associations between social media use and subjective well-being have revealed inconsistent results and mainly refer to the between-person level. We conducted a 14-day diary study
Australian youth perspectives on the role of social media in climate action.,2023,"G. Arnot, H. Pitt, S. McCarthy",24,"OBJECTIVE
The climate crisis poses a significant public health threat to current and future generations. Limited research has examined young people's perspectives about the role of social media for cl"
Anxiety and depression amongst youth as adverse effects of using social media : A Review,2023,"Sakshi Prasad, Sarah Ait Souabni, Gibson Anugwom",23,"Background: Social media use has become widely popularized in modern society and because of that, human interactions have drastically changed. In parallel, depression and anxiety have reached unpreced"
The Negative Impact of Social Media on Youth’s Social Lives,2023,"Nooriallai Noori, Ajmal Sayes, Gulaqa Anwari",21,"The results of numerous scientific researches in developed countries shows that the content produced by social media has a significant impact on the behavior and lifestyle of young people, especially "
Impact of social media on Youth: Comprehensive Analysis,2023,Sumadevi S,15,"The advent of social media has revolutionized the way youth communicate, express themselves, and interact with the world. This study explores the multifaceted impact of social media on young individua"
